# wl_(um)         transit_depth
0.41571          1.039308e-02
0.41612          1.039268e-02
0.41654          1.039229e-02
0.41696          1.039188e-02
0.41737          1.039148e-02
0.41779          1.039109e-02
0.41821          1.039070e-02
0.41863          1.039031e-02
0.41905          1.038992e-02
0.41946          1.038953e-02
0.41988          1.038915e-02
0.42030          1.038876e-02
0.42072          1.038838e-02
0.42115          1.038800e-02
0.42157          1.038891e-02
0.42199          1.038725e-02
0.42241          1.038686e-02
0.42283          1.038648e-02
0.42326          1.038611e-02
0.42368          1.038574e-02
0.42410          1.038604e-02
0.42453          1.038596e-02
0.42495          1.038474e-02
0.42538          1.038446e-02
0.42580          1.038388e-02
0.42623          1.038352e-02
0.42666          1.038315e-02
0.42708          1.038279e-02
0.42751          1.038321e-02
0.42794          1.038334e-02
0.42837          1.038170e-02
0.42880          1.038149e-02
0.42922          1.038127e-02
0.42965          1.038062e-02
0.43008          1.038026e-02
0.43051          1.037990e-02
0.43094          1.037955e-02
0.43138          1.037920e-02
0.43181          1.037884e-02
0.43224          1.037952e-02
0.43267          1.037977e-02
0.43310          1.037779e-02
0.43354          1.037744e-02
0.43397          1.037709e-02
0.43441          1.037788e-02
0.43484          1.037641e-02
0.43528          1.037605e-02
0.43571          1.037570e-02
0.43615          1.037536e-02
0.43658          1.037502e-02
0.43702          1.037467e-02
0.43746          1.037433e-02
0.43789          1.037399e-02
0.43833          1.037365e-02
0.43877          1.037333e-02
0.43921          1.037465e-02
0.43965          1.037498e-02
0.44009          1.037232e-02
0.44053          1.037198e-02
0.44097          1.037165e-02
0.44141          1.037136e-02
0.44185          1.037101e-02
0.44230          1.037175e-02
0.44274          1.037047e-02
0.44318          1.037006e-02
0.44362          1.036970e-02
0.44407          1.036936e-02
0.44451          1.036904e-02
0.44496          1.036872e-02
0.44540          1.036839e-02
0.44585          1.036808e-02
0.44629          1.036776e-02
0.44674          1.036741e-02
0.44719          1.036712e-02
0.44764          1.036680e-02
0.44808          1.036646e-02
0.44853          1.036616e-02
0.44898          1.036583e-02
0.44943          1.036741e-02
0.44988          1.036799e-02
0.45033          1.036490e-02
0.45078          1.036456e-02
0.45123          1.036425e-02
0.45168          1.036392e-02
0.45213          1.036363e-02
0.45259          1.036331e-02
0.45304          1.036300e-02
0.45349          1.036268e-02
0.45395          1.036239e-02
0.45440          1.036260e-02
0.45486          1.036262e-02
0.45531          1.036146e-02
0.45577          1.036115e-02
0.45622          1.036085e-02
0.45668          1.036054e-02
0.45714          1.036024e-02
0.45759          1.035994e-02
0.45805          1.035964e-02
0.45851          1.035934e-02
0.45897          1.035905e-02
0.45943          1.035874e-02
0.45989          1.035845e-02
0.46035          1.035815e-02
0.46081          1.035786e-02
0.46127          1.035757e-02
0.46173          1.035727e-02
0.46219          1.035698e-02
0.46265          1.035669e-02
0.46312          1.035644e-02
0.46358          1.035673e-02
0.46404          1.035583e-02
0.46451          1.035747e-02
0.46497          1.035530e-02
0.46544          1.035498e-02
0.46590          1.035598e-02
0.46637          1.035549e-02
0.46684          1.036063e-02
0.46730          1.035392e-02
0.46777          1.035492e-02
0.46824          1.035331e-02
0.46871          1.035302e-02
0.46918          1.035274e-02
0.46965          1.035255e-02
0.47012          1.035219e-02
0.47059          1.035194e-02
0.47106          1.035268e-02
0.47153          1.035135e-02
0.47200          1.035187e-02
0.47247          1.035178e-02
0.47294          1.035055e-02
0.47342          1.035027e-02
0.47389          1.035000e-02
0.47437          1.035118e-02
0.47484          1.035034e-02
0.47532          1.035104e-02
0.47579          1.035051e-02
0.47627          1.034866e-02
0.47674          1.034838e-02
0.47722          1.034812e-02
0.47770          1.034785e-02
0.47818          1.034759e-02
0.47865          1.034785e-02
0.47913          1.034838e-02
0.47961          1.034680e-02
0.48009          1.034725e-02
0.48057          1.034836e-02
0.48105          1.034603e-02
0.48154          1.034576e-02
0.48202          1.034550e-02
0.48250          1.034525e-02
0.48298          1.034499e-02
0.48347          1.034474e-02
0.48395          1.034449e-02
0.48443          1.034425e-02
0.48492          1.034470e-02
0.48540          1.034378e-02
0.48589          1.034448e-02
0.48637          1.034409e-02
0.48686          1.034319e-02
0.48735          1.034418e-02
0.48784          1.034250e-02
0.48832          1.034225e-02
0.48881          1.034200e-02
0.48930          1.034177e-02
0.48979          1.034152e-02
0.49028          1.034128e-02
0.49077          1.034103e-02
0.49126          1.034080e-02
0.49175          1.034055e-02
0.49225          1.034031e-02
0.49274          1.034008e-02
0.49323          1.033983e-02
0.49373          1.033959e-02
0.49422          1.034008e-02
0.49471          1.033913e-02
0.49521          1.034009e-02
0.49570          1.033981e-02
0.49620          1.033843e-02
0.49670          1.034017e-02
0.49719          1.033796e-02
0.49769          1.033783e-02
0.49819          1.034746e-02
0.49869          1.033820e-02
0.49919          1.033762e-02
0.49969          1.033760e-02
0.50019          1.033754e-02
0.50069          1.033752e-02
0.50119          1.033747e-02
0.50169          1.033757e-02
0.50219          1.033753e-02
0.50269          1.033741e-02
0.50320          1.033807e-02
0.50370          1.033969e-02
0.50420          1.034001e-02
0.50471          1.034050e-02
0.50521          1.034112e-02
0.50572          1.034201e-02
0.50622          1.034338e-02
0.50673          1.034505e-02
0.50724          1.034668e-02
0.50774          1.034827e-02
0.50825          1.035017e-02
0.50876          1.035468e-02
0.50927          1.035669e-02
0.50978          1.036102e-02
0.51029          1.036391e-02
0.51080          1.036541e-02
0.51131          1.037233e-02
0.51182          1.037574e-02
0.51234          1.038075e-02
0.51285          1.038548e-02
0.51336          1.038994e-02
0.51387          1.039418e-02
0.51439          1.039827e-02
0.51490          1.040301e-02
0.51542          1.040713e-02
0.51593          1.040932e-02
0.51645          1.041188e-02
0.51697          1.041368e-02
0.51748          1.041544e-02
0.51800          1.041717e-02
0.51852          1.041885e-02
0.51904          1.042006e-02
0.51956          1.042047e-02
0.52008          1.042090e-02
0.52060          1.042132e-02
0.52112          1.042173e-02
0.52164          1.042235e-02
0.52216          1.042358e-02
0.52269          1.042486e-02
0.52321          1.042612e-02
0.52373          1.042733e-02
0.52426          1.042863e-02
0.52478          1.043053e-02
0.52531          1.043253e-02
0.52583          1.043447e-02
0.52636          1.043634e-02
0.52688          1.043816e-02
0.52741          1.043938e-02
0.52794          1.044030e-02
0.52847          1.044119e-02
0.52900          1.044207e-02
0.52952          1.044294e-02
0.53005          1.044396e-02
0.53058          1.044523e-02
0.53112          1.044645e-02
0.53165          1.044764e-02
0.53218          1.044883e-02
0.53271          1.045079e-02
0.53324          1.045229e-02
0.53378          1.045444e-02
0.53431          1.045825e-02
0.53485          1.045854e-02
0.53538          1.046048e-02
0.53592          1.046288e-02
0.53645          1.046276e-02
0.53699          1.046379e-02
0.53753          1.046475e-02
0.53806          1.046571e-02
0.53860          1.046716e-02
0.53914          1.046941e-02
0.53968          1.047160e-02
0.54022          1.047369e-02
0.54076          1.047581e-02
0.54130          1.047771e-02
0.54184          1.047927e-02
0.54239          1.048077e-02
0.54293          1.048224e-02
0.54347          1.048368e-02
0.54402          1.048507e-02
